"","MO","SC","UA","PD","AD","State","Age","Sex","UK_2026","UK_2026Copula","Japan","JapanCopula","SouthKorea","SouthKoreaCopula","Netherlands","NetherlandsCopula","China","ChinaCopula","Spain","SpainCopula","Germany","GermanyCopula","Pakistan","PakistanCopula","Australia","AustraliaCopula","Belgium","BelgiumCopula","Canada","CanadaCopula","Denmark","DenmarkCopula","France","FranceCopula","Hungary","HungaryCopula","Iran","IranCopula","Italy","ItalyCopula","Malaysia","MalaysiaCopula","Poland","PolandCopula","Portugal","PortugalCopula","Romania","RomaniaCopula","Taiwan","TaiwanCopula","Thailand","ThailandCopula","Trinidad_and_Tobago","Trinidad_and_TobagoCopula","USA","USACopula","Singapore","SingaporeCopula","England_2018","England_2018Copula"
"17298",3,4,2,5,3,34253,"45-54","female",0.126,0.0080116,0.347,0.42739762,0.416,0.51025702,0.129,0.11586639,0.167,0.35132241,0.184,0.07596909,0.059,0.20663543,NA,0.57749808,0.216,0.17122922,0.153,0.15706765,0.271,0.33368786,0.041,0.24234695,0.256,0.00647304,0.131,0.40855964,-0.279,0.39165061,0.153,0.46311421,0.211,0.40505619,0.228,0.27914257,0.217,0.13371718,0.373,0.40828969,-0.173,-0.1306313,0.31,0.13571838,0.2,0.50258476,0.048,0.32039971,-0.145,-0.17556314,0.271,0.0080116
"17299",3,4,2,5,4,34254,"45-54","female",-0.061,-0.08819092,0.285,0.39806424,0.36,0.44972256,-0.082,0.00504446,0.07,0.28867143,0.041,0.01386746,-0.103,0.15741567,NA,0.50203295,0.044,0.11135581,-0.08,0.09143699,0.131,0.22797028,-0.198,0.09888307,0.103,-0.05968388,-0.037,0.30788708,-0.399,0.32546422,-0.056,0.39703927,0.076,0.38972868,0.149,0.18482521,0.09,0.0744835,0.322,0.32726545,-0.33,-0.20896342,0.173,0.08779773,0.113,0.43931273,-0.148,0.25802059,-0.357,-0.25636359,0.09,-0.08819092
"17300",3,4,2,5,5,34255,"45-54","female",-0.139,-0.17122515,0.261,0.37171058,0.325,0.39407943,-0.147,-0.08863963,0.027,0.23364325,-0.036,-0.03906601,-0.215,0.1158985,NA,0.43053722,0.044,0.06536354,-0.173,0.03896518,0.093,0.13146013,-0.386,-0.03269502,0.045,-0.11454214,-0.116,0.21200762,-0.469,0.26704624,-0.06,0.33442491,0.006,0.37997831,0.025,0.09548185,0.018,0.02161565,0.214,0.25132885,-0.411,-0.27269892,0.111,0.04533769,0.01,0.37903325,-0.19,0.20310682,-0.382,-0.32038292,0.086,-0.17122515
"17301",3,4,3,1,1,34311,"45-54","female",0.694,0.59490476,0.617,0.61423732,0.639,0.71404414,0.641,0.67489938,0.525,0.6091644,0.688,0.56561747,0.74,0.72015576,NA,0.8097313,0.665,0.61536637,0.727,0.56329775,0.636,0.65359601,0.762,0.661391,0.74,0.38786029,0.585,0.79081986,0.379,0.5749012,0.656,0.76736994,0.628,0.63928967,0.815,0.74559555,0.689,0.35903422,0.788,0.77896545,0.413,0.31867822,0.65,0.43601093,0.7,0.71150573,0.605,0.68954454,0.47,0.2816041,0.697,0.59490476
"17302",3,4,3,1,2,34312,"45-54","female",0.653,0.56290321,0.538,0.58601394,0.606,0.69462222,0.571,0.61822141,0.476,0.57012712,0.607,0.53859497,0.71,0.72076295,NA,0.79409017,0.633,0.5710754,0.666,0.51656245,0.599,0.62451416,0.69,0.62959508,0.72,0.34666013,0.545,0.7571538,0.295,0.53024819,0.612,0.74480788,0.556,0.60315876,0.797,0.73467499,0.653,0.34274398,0.75,0.75526308,0.349,0.24893163,0.592,0.42182397,0.68,0.70658216,0.548,0.65494105,0.398,0.21310118,0.619,0.56290321
"17303",3,4,3,1,3,34313,"45-54","female",0.568,0.50359099,0.505,0.56546119,0.593,0.66760376,0.496,0.54669648,0.407,0.5351476,0.56,0.48693985,0.658,0.68322096,NA,0.76948328,0.599,0.51841015,0.613,0.45769216,0.561,0.58739371,0.571,0.58303661,0.693,0.29743172,0.492,0.7177848,0.16,0.49564137,0.547,0.71886317,0.533,0.57189441,0.786,0.70844295,0.604,0.3171579,0.729,0.72558297,0.23,0.18118935,0.554,0.39261671,0.626,0.69036405,0.472,0.61342684,0.318,0.13754063,0.593,0.50359099
"17304",3,4,3,1,4,34314,"45-54","female",0.381,0.31329503,0.444,0.53943248,0.537,0.59165225,0.285,0.35275085,0.31,0.46710997,0.417,0.32525522,0.496,0.51970664,NA,0.69945169,0.427,0.38040665,0.381,0.30056038,0.404,0.48450218,0.332,0.44204323,0.54,0.16971746,0.324,0.62820256,0.04,0.44061809,0.338,0.6602229,0.398,0.51766182,0.707,0.62181221,0.477,0.24330873,0.678,0.65140085,0.073,0.03705597,0.417,0.29744487,0.539,0.6301963,0.276,0.50888924,0.08,-0.04696904,0.412,0.31329503
"17305",3,4,3,1,5,34315,"45-54","female",0.303,0.14968421,0.42,0.5177722,0.502,0.5256035,0.22,0.18784567,0.267,0.4093526,0.34,0.18649879,0.384,0.37835204,NA,0.63660482,0.274,0.26279855,0.288,0.16809887,0.367,0.39450965,0.144,0.3182631,0.482,0.06204124,0.245,0.54789129,-0.03,0.39426854,0.334,0.6078145,0.328,0.47345151,0.583,0.54334754,0.405,0.17848221,0.57,0.5853224,-0.009,-0.0833837,0.354,0.2153008,0.436,0.57614293,0.234,0.41926783,0.028,-0.20110964,0.408,0.14968421
"17306",3,4,3,2,1,34321,"45-54","female",0.638,0.57970995,0.576,0.6014893,0.597,0.71082239,0.575,0.66537891,0.467,0.59573822,0.61,0.55844145,0.683,0.70655999,NA,0.80777648,0.621,0.60716504,0.66,0.55428091,0.592,0.64845133,0.714,0.65337544,0.718,0.37353068,0.542,0.78282316,0.259,0.56413117,0.609,0.76147547,0.547,0.63358735,0.785,0.73925842,0.648,0.34420128,0.735,0.76954596,0.326,0.3036937,0.593,0.42807901,0.656,0.70239181,0.54,0.67835532,0.425,0.26278811,0.634,0.57970995
"17307",3,4,3,2,2,34322,"45-54","female",0.597,0.54477273,0.498,0.57239968,0.564,0.69017063,0.505,0.60595874,0.418,0.55545284,0.529,0.52823586,0.653,0.70458237,NA,0.79060833,0.589,0.56111331,0.599,0.50502466,0.554,0.61815929,0.642,0.6201211,0.698,0.33049645,0.502,0.7464812,0.175,0.51846599,0.565,0.73724085,0.475,0.59594596,0.767,0.72657571,0.612,0.32641544,0.697,0.74414051,0.262,0.23128407,0.535,0.41225632,0.636,0.69660067,0.483,0.63983369,0.36,0.19144697,0.556,0.54477273
