"","MO","SC","UA","PD","AD","State","Age","Sex","UK","UKCopula","Japan","JapanCopula","SouthKorea","SouthKoreaCopula","Netherlands","NetherlandsCopula","China","ChinaCopula","Spain","SpainCopula","Germany","GermanyCopula"
"339",2,1,2,2,3,"21223","18-34","female",0.186,0.508052414019899,0.537,0.53844730372579,0.558,0.570453047634674,0.216,0.373993176486263,0.469,0.480525017281116,0.275,0.456072173853207,0.4,0.521613481566403
"340",2,1,2,3,1,"21231","18-34","female",0.159,0.589151977392827,0.535,0.594038050302067,0.602,0.596945392491068,0.298,0.505960753002009,0.53,0.51270772075266,0.247,0.576735833632381,0.262,0.562043253846953
"341",2,1,2,3,2,"21232","18-34","female",0.088,0.493757183480597,0.472,0.518173123680434,0.559,0.549883182115962,0.174,0.378145203062495,0.444,0.420649305409116,0.185,0.475101269383162,0.262,0.475380599688069
"342",2,1,2,3,3,"21233","18-34","female",-0.077,0.294815157515289,0.423,0.40846850581068,0.444,0.426386985260636,-0.027,0.0987093989016216,0.325,0.241113719048409,0.103,0.256714131732729,0.197,0.210773250973519
"343",2,1,3,1,1,"21311","18-34","female",0.487,0.71158708132341,0.64,0.661503841017029,0.596,0.684557756919383,0.602,0.673811007855712,0.647,0.639839662399296,0.384,0.694677042860244,0.577,0.772060688881019
"344",2,1,3,1,2,"21312","18-34","female",0.416,0.606262735390776,0.577,0.572077126052223,0.553,0.62548424404633,0.478,0.537018101415352,0.561,0.532693129740348,0.322,0.581793990910247,0.577,0.681524344186969
"345",2,1,3,1,3,"21313","18-34","female",0.251,0.376146148614417,0.528,0.429068953138482,0.438,0.461722575825167,0.277,0.231621766381118,0.442,0.295965467417493,0.24,0.328746224848672,0.512,0.395259360846937
"346",2,1,3,2,1,"21321","18-34","female",0.364,0.631608119239233,0.56,0.59944746999803,0.559,0.625367227853853,0.516,0.574899358960172,0.555,0.533149939896377,0.295,0.613992575104758,0.465,0.668825158383845
"347",2,1,3,2,2,"21322","18-34","female",0.293,0.536754334817257,0.497,0.523114851145281,0.516,0.578416314595379,0.392,0.448642905480161,0.469,0.440479416834441,0.233,0.51229634553992,0.465,0.584831957612114
"348",2,1,3,2,3,"21323","18-34","female",0.128,0.326545508990798,0.448,0.40297163816156,0.401,0.435761506061299,0.191,0.161419952920741,0.35,0.239411920431543,0.151,0.283127589940866,0.4,0.314583334644024
"349",2,1,3,3,1,"21331","18-34","female",0.101,0.332659201048318,0.446,0.426334754684943,0.445,0.393094469576087,0.273,0.22271497425879,0.411,0.239565282252996,0.123,0.319722257810487,0.262,0.243641857856161
"350",2,1,3,3,2,"21332","18-34","female",0.03,0.239096987722681,0.383,0.358258387194369,0.402,0.358917913237415,0.149,0.0954860043608734,0.325,0.15789154895353,0.061,0.221426562210492,0.262,0.162281620821705
"351",2,1,3,3,3,"21333","18-34","female",-0.135,0.0838090718389722,0.334,0.270192873551304,0.287,0.270713751638561,-0.052,-0.126400675404336,0.206,0.0209689894254693,-0.021,0.0339920302542173,0.197,-0.0626839592560473
"352",2,2,1,1,1,"22111","18-34","female",0.746,0.811903094731218,0.719,0.758002872674529,0.808,0.785877923718468,0.811,0.795874147009983,0.757,0.789870348100433,0.736,0.789179417834755,0.813,0.868060838017796
"353",2,2,1,1,2,"22112","18-34","female",0.675,0.722683463718886,0.656,0.677106261329899,0.765,0.733523834322576,0.687,0.680582229867415,0.671,0.698449125896663,0.674,0.691255606646415,0.813,0.795049708340836
"354",2,2,1,1,3,"22113","18-34","female",0.241,0.534539293789313,0.607,0.567276028009753,0.6,0.588941783081283,0.252,0.419673450149228,0.53,0.514977552637542,0.301,0.486701276005788,0.425,0.56308366107363
"355",2,2,1,2,1,"22121","18-34","female",0.623,0.740413962080952,0.639,0.698327396354627,0.771,0.730861761372319,0.725,0.716156954531059,0.665,0.687703695939036,0.647,0.712851920680748,0.701,0.783680999243243
"356",2,2,1,2,2,"22122","18-34","female",0.552,0.652291416194912,0.576,0.623183812442173,0.728,0.683257032800366,0.601,0.600587429067025,0.579,0.597341631248461,0.585,0.617395802283964,0.701,0.708145883953941
"357",2,2,1,2,3,"22123","18-34","female",0.118,0.469325770123417,0.527,0.519786182694825,0.563,0.546726251307175,0.166,0.34211637792548,0.438,0.420505033282807,0.212,0.419684762913079,0.313,0.474087071014071
"358",2,2,1,3,1,"22131","18-34","female",0.091,0.495728545665748,0.525,0.550509650363224,0.607,0.535209145900607,0.248,0.417574750961347,0.499,0.409900046928506,0.184,0.483886854010879,0.175,0.443549579529932
"359",2,2,1,3,2,"22132","18-34","female",0.02,0.404069641320686,0.462,0.479712719258718,0.564,0.495056682745379,0.124,0.294370778030235,0.413,0.325452761688347,0.122,0.386390489857332,0.175,0.362290659604776
"360",2,2,1,3,3,"22133","18-34","female",-0.145,0.202323252685246,0.413,0.367046483722016,0.449,0.378287297660184,-0.077,0.016443158139094,0.294,0.140869321241029,0.04,0.156026996142625,0.11,0.0897042063095891
"361",2,2,2,1,1,"22211","18-34","female",0.71,0.741978650873451,0.675,0.674858472270091,0.757,0.726623390328895,0.779,0.7181654673451,0.683,0.680526365326488,0.665,0.726740141037327,0.813,0.813103356244806
"362",2,2,2,1,2,"22212","18-34","female",0.639,0.652822464614444,0.612,0.59861259151754,0.714,0.67780014957201,0.655,0.600072865830513,0.597,0.588647685357546,0.603,0.630637775370391,0.813,0.737583590502051
"363",2,2,2,1,3,"22213","18-34","female",0.205,0.472840264865144,0.563,0.492894779674749,0.549,0.542682798313886,0.22,0.344629554218632,0.456,0.411822729970489,0.23,0.43478984900839,0.425,0.511279504542427
"364",2,2,2,2,1,"22221","18-34","female",0.587,0.672663827769825,0.595,0.621745483868232,0.72,0.673968910129604,0.693,0.634489879313465,0.591,0.576087809873723,0.576,0.656983853969242,0.701,0.722111342371706
"365",2,2,2,2,2,"22222","18-34","female",0.516,0.581208809467094,0.532,0.545367962436362,0.677,0.624943874077416,0.569,0.512789542130592,0.505,0.482598272959575,0.514,0.559019222715078,0.701,0.642454072391493
"366",2,2,2,2,3,"22223","18-34","female",0.082,0.407636573350006,0.483,0.446708279323547,0.512,0.500314046660936,0.134,0.263367399537732,0.364,0.317263390485422,0.141,0.369622735142987,0.313,0.417901784712522
"367",2,2,2,3,1,"22231","18-34","female",0.055,0.456046621789264,0.481,0.496685938346749,0.556,0.499959708875789,0.216,0.36192638761691,0.425,0.345557605383443,0.113,0.460372985808559,0.175,0.416732148909853
