"","Denmark","France","Germany","Japan","Netherlands","Russia","Spain","Thailand","UK","USA","Zimbabwe"
"13424",0.479,0.271,0.578,0.57,0.361,0.634,0.365,0.379,0.333,0.533,0.573
"13425",0.327,0.153,0.434,0.545,0.179,0.564,0.224,0.292,0.156,0.428,0.508
"13431",0.682,0.452,0.694,0.641,0.644,0.73,0.546,0.481,0.549,0.682,0.668
"13432",0.628,0.381,0.694,0.591,0.546,0.697,0.497,0.456,0.492,0.632,0.631
"13433",0.614,0.362,0.694,0.578,0.52,0.689,0.484,0.449,0.478,0.619,0.622
"13434",0.467,0.249,0.556,0.554,0.344,0.621,0.348,0.365,0.308,0.519,0.56
"13435",0.315,0.131,0.412,0.529,0.162,0.551,0.206,0.278,0.132,0.416,0.495
"13441",0.548,0.344,0.526,0.595,0.484,0.606,0.399,0.389,0.371,0.564,0.574
"13442",0.494,0.273,0.526,0.545,0.386,0.573,0.35,0.364,0.315,0.521,0.537
"13443",0.48,0.254,0.526,0.532,0.36,0.565,0.337,0.357,0.3,0.51,0.528
"13444",0.333,0.164,0.43,0.508,0.215,0.497,0.239,0.291,0.166,0.426,0.466
"13445",0.181,0.07,0.331,0.483,0.065,0.427,0.138,0.223,0.027,0.339,0.401
"13451",0.348,0.182,0.274,0.527,0.244,0.419,0.178,0.251,0.105,0.387,0.433
"13452",0.294,0.111,0.274,0.477,0.145,0.386,0.129,0.225,0.049,0.355,0.396
"13453",0.28,0.092,0.274,0.464,0.12,0.378,0.116,0.219,0.034,0.346,0.387
"13454",0.133,0.036,0.242,0.44,0.021,0.31,0.076,0.18,-0.047,0.286,0.325
"13455",-0.02,-0.022,0.209,0.415,-0.081,0.24,0.034,0.141,-0.131,0.223,0.26
"13511",0.679,0.425,0.589,0.661,0.556,0.683,0.356,0.42,0.452,0.59,0.673
"13512",0.625,0.354,0.589,0.611,0.458,0.65,0.307,0.395,0.396,0.569,0.637
"13513",0.611,0.335,0.589,0.598,0.432,0.642,0.294,0.388,0.381,0.563,0.627
"13514",0.464,0.279,0.557,0.574,0.333,0.574,0.254,0.35,0.3,0.491,0.565
"13515",0.312,0.221,0.524,0.549,0.231,0.504,0.212,0.31,0.216,0.416,0.5
"13521",0.629,0.335,0.499,0.597,0.487,0.63,0.285,0.362,0.354,0.555,0.619
"13522",0.575,0.264,0.499,0.547,0.389,0.597,0.236,0.337,0.297,0.519,0.583
"13523",0.561,0.245,0.499,0.534,0.363,0.589,0.223,0.33,0.283,0.51,0.573
"13524",0.415,0.189,0.467,0.51,0.265,0.521,0.183,0.292,0.202,0.447,0.511
"13525",0.262,0.131,0.434,0.485,0.162,0.451,0.141,0.252,0.118,0.381,0.446
"13531",0.617,0.313,0.477,0.581,0.47,0.617,0.267,0.348,0.329,0.546,0.606
"13532",0.563,0.242,0.477,0.531,0.372,0.584,0.218,0.323,0.273,0.507,0.57
"13533",0.549,0.223,0.477,0.518,0.346,0.576,0.205,0.316,0.258,0.497,0.56
"13534",0.402,0.167,0.445,0.494,0.247,0.508,0.165,0.278,0.177,0.436,0.498
"13535",0.25,0.109,0.412,0.469,0.145,0.438,0.123,0.238,0.093,0.372,0.433
"13541",0.484,0.252,0.396,0.536,0.373,0.493,0.198,0.293,0.224,0.459,0.512
"13542",0.43,0.18,0.396,0.486,0.275,0.46,0.149,0.268,0.168,0.427,0.476
"13543",0.416,0.162,0.396,0.473,0.249,0.452,0.136,0.261,0.153,0.419,0.466
"13544",0.269,0.106,0.364,0.448,0.15,0.384,0.096,0.223,0.072,0.359,0.404
"13545",0.117,0.048,0.331,0.424,0.048,0.314,0.054,0.183,-0.012,0.297,0.339
"13551",0.283,0.16,0.274,0.467,0.227,0.306,0.095,0.211,0.066,0.329,0.371
"13552",0.229,0.089,0.274,0.417,0.129,0.273,0.046,0.186,0.01,0.308,0.335
"13553",0.215,0.07,0.274,0.404,0.103,0.265,0.033,0.179,-0.005,0.302,0.325
"13554",0.068,0.014,0.242,0.38,0.004,0.197,-0.007,0.141,-0.086,0.244,0.263
"13555",-0.084,-0.044,0.209,0.355,-0.098,0.127,-0.049,0.101,-0.17,0.184,0.198
"14111",0.792,0.718,0.812,0.782,0.773,0.883,0.729,0.614,0.723,0.753,0.774
"14112",0.738,0.647,0.812,0.732,0.675,0.85,0.68,0.588,0.667,0.733,0.738
"14113",0.724,0.628,0.812,0.719,0.649,0.842,0.667,0.582,0.652,0.728,0.728
"14114",0.577,0.507,0.661,0.695,0.464,0.774,0.518,0.492,0.471,0.604,0.666
"14115",0.425,0.382,0.503,0.67,0.271,0.704,0.365,0.399,0.283,0.475,0.601
"14121",0.742,0.628,0.723,0.718,0.704,0.83,0.657,0.556,0.624,0.72,0.721
"14122",0.688,0.557,0.723,0.668,0.606,0.797,0.608,0.531,0.568,0.688,0.684
"14123",0.674,0.538,0.723,0.655,0.58,0.789,0.595,0.524,0.553,0.68,0.675
"14124",0.527,0.418,0.571,0.631,0.395,0.721,0.447,0.434,0.373,0.563,0.612
"14125",0.375,0.293,0.413,0.606,0.202,0.651,0.293,0.341,0.185,0.442,0.548
"14131",0.73,0.606,0.7,0.702,0.687,0.817,0.64,0.542,0.6,0.712,0.707
"14132",0.676,0.535,0.7,0.652,0.589,0.784,0.591,0.516,0.544,0.677,0.671
"14133",0.662,0.516,0.7,0.639,0.563,0.776,0.578,0.51,0.529,0.668,0.661
"14134",0.515,0.395,0.549,0.615,0.378,0.708,0.429,0.42,0.348,0.553,0.599
"14135",0.363,0.27,0.391,0.59,0.185,0.638,0.276,0.327,0.16,0.434,0.534
"14141",0.596,0.492,0.522,0.657,0.519,0.693,0.483,0.445,0.414,0.583,0.613
"14142",0.542,0.421,0.522,0.607,0.421,0.66,0.434,0.42,0.357,0.554,0.577
"14143",0.528,0.402,0.522,0.594,0.395,0.652,0.421,0.413,0.343,0.546,0.567
"14144",0.382,0.308,0.418,0.57,0.245,0.584,0.316,0.344,0.202,0.45,0.505
"14145",0.229,0.209,0.31,0.545,0.088,0.514,0.207,0.272,0.055,0.349,0.44
"14151",0.396,0.321,0.253,0.588,0.267,0.506,0.248,0.3,0.133,0.388,0.472
"14152",0.342,0.25,0.253,0.538,0.169,0.473,0.198,0.274,0.077,0.369,0.436
"14153",0.328,0.231,0.253,0.525,0.143,0.465,0.186,0.268,0.062,0.364,0.426
"14154",0.181,0.175,0.221,0.501,0.044,0.397,0.145,0.229,-0.019,0.294,0.364
"14155",0.029,0.117,0.188,0.476,-0.058,0.327,0.104,0.19,-0.103,0.221,0.299
"14211",0.753,0.593,0.812,0.747,0.747,0.824,0.672,0.566,0.694,0.746,0.74
"14212",0.699,0.521,0.812,0.697,0.649,0.791,0.623,0.541,0.638,0.715,0.703
"14213",0.685,0.503,0.812,0.684,0.623,0.783,0.61,0.534,0.623,0.706,0.694
"14214",0.538,0.382,0.661,0.66,0.438,0.715,0.462,0.445,0.442,0.59,0.631
